Sex,Rings,Length,Diameter,Height,Weight
F,9,0.51,0.39,0.135,0.6335
F,9,0.435,0.395,0.105,0.3635
M,9,0.495,0.395,0.125,0.5415
M,9,0.465,0.36,0.105,0.431
I,9,0.435,0.32,0.08,0.3325
M,9,0.425,0.35,0.105,0.393
F,11,0.545,0.41,0.125,0.6935
F,11,0.53,0.415,0.115,0.5915
F,11,0.49,0.375,0.135,0.6125
M,10,0.44,0.34,0.105,0.402
F,9,0.56,0.43,0.15,0.8825
M,8,0.405,0.305,0.085,0.2605
F,9,0.47,0.365,0.105,0.4205
I,7,0.385,0.295,0.085,0.2535
F,14,0.515,0.425,0.14,0.766
M,6,0.37,0.265,0.075,0.214
I,6,0.36,0.28,0.08,0.1755
I,5,0.27,0.195,0.06,0.073
I,6,0.375,0.275,0.09,0.238
I,8,0.385,0.29,0.085,0.2505
M,19,0.7,0.535,0.16,1.7255
M,18,0.71,0.54,0.165,1.959
M,17,0.595,0.48,0.165,1.262
F,9,0.44,0.35,0.125,0.4035
F,7,0.325,0.26,0.09,0.1915
I,7,0.35,0.26,0.095,0.211
I,7,0.265,0.2,0.065,0.0975
F,8,0.425,0.33,0.115,0.406
F,7,0.305,0.23,0.08,0.156
M,9,0.345,0.255,0.09,0.2005
F,9,0.405,0.325,0.11,0.3555
M,9,0.375,0.285,0.095,0.253
F,10,0.565,0.445,0.155,0.826
F,10,0.55,0.45,0.145,0.741
M,16,0.65,0.52,0.19,1.3445
M,11,0.56,0.455,0.155,0.797
M,10,0.475,0.375,0.13,0.5175
F,10,0.49,0.38,0.125,0.549
M,10,0.46,0.35,0.12,0.515
I,9,0.28,0.205,0.08,0.127
I,5,0.175,0.13,0.055,0.0315
I,4,0.17,0.13,0.095,0.03
M,15,0.59,0.475,0.145,1.053
F,9,0.605,0.5,0.185,1.1185
F,10,0.635,0.515,0.19,1.3715
F,10,0.605,0.485,0.16,1.0565
F,12,0.565,0.45,0.135,0.9885
M,10,0.515,0.405,0.13,0.722
F,13,0.575,0.46,0.19,0.994
M,16,0.645,0.485,0.215,1.514
F,13,0.58,0.455,0.17,0.9075
F,13,0.575,0.46,0.165,1.124
M,13,0.605,0.465,0.165,1.056
F,13,0.605,0.485,0.16,1.222
M,12,0.61,0.485,0.175,1.2445
F,18,0.725,0.56,0.21,2.141
F,16,0.65,0.545,0.23,1.752
M,14,0.725,0.57,0.19,2.55
F,20,0.725,0.575,0.175,2.124
F,20,0.68,0.57,0.205,1.842
M,14,0.705,0.56,0.22,1.981
F,12,0.68,0.515,0.175,1.6185
M,14,0.695,0.55,0.215,1.9565
F,7,0.53,0.395,0.145,0.775
M,8,0.525,0.435,0.155,1.065
F,8,0.52,0.405,0.115,0.776
I,5,0.235,0.16,0.04,0.048
I,7,0.36,0.26,0.09,0.1785
I,5,0.315,0.21,0.06,0.125
I,8,0.315,0.245,0.085,0.1435
I,4,0.225,0.16,0.045,0.0465
M,11,0.58,0.475,0.15,0.97
M,14,0.57,0.48,0.18,0.9395
M,21,0.64,0.51,0.175,1.368
F,10,0.56,0.45,0.16,1.0235
F,10,0.62,0.475,0.175,1.0165
F,12,0.645,0.51,0.2,1.5675
M,13,0.62,0.49,0.19,1.218
F,12,0.63,0.48,0.15,1.0525
F,10,0.63,0.5,0.185,1.383
F,11,0.63,0.48,0.16,1.199
F,9,0.585,0.46,0.17,0.9325
M,13,0.615,0.48,0.18,1.1595
M,12,0.61,0.485,0.17,1.0225
M,14,0.58,0.45,0.15,0.927
I,8,0.355,0.275,0.085,0.22
F,10,0.51,0.4,0.14,0.8145
M,12,0.5,0.405,0.155,0.772
F,11,0.505,0.41,0.15,0.644
M,16,0.64,0.5,0.185,1.3035
M,15,0.56,0.45,0.16,0.922
M,10,0.585,0.46,0.185,0.922
F,9,0.45,0.345,0.12,0.4165
M,13,0.5,0.4,0.165,0.825
F,12,0.5,0.4,0.145,0.63
F,13,0.53,0.435,0.17,0.8155
M,8,0.42,0.335,0.115,0.369
F,9,0.44,0.34,0.14,0.482
I,9,0.4,0.3,0.11,0.315
I,8,0.435,0.34,0.11,0.3795
F,13,0.525,0.415,0.17,0.8325
I,7,0.37,0.28,0.095,0.2655
F,10,0.49,0.365,0.145,0.6345
M,7,0.335,0.25,0.09,0.181
F,12,0.415,0.325,0.105,0.38
M,9,0.5,0.405,0.14,0.6155
F,14,0.485,0.395,0.16,0.66
M,10,0.55,0.405,0.14,0.8025
M,8,0.45,0.35,0.13,0.46
I,7,0.405,0.3,0.12,0.324
M,10,0.47,0.36,0.135,0.501
F,8,0.415,0.305,0.13,0.32
F,9,0.445,0.325,0.125,0.455
F,11,0.47,0.35,0.145,0.5175
F,9,0.49,0.375,0.15,0.5755
F,11,0.445,0.355,0.15,0.485
I,10,0.425,0.38,0.105,0.3265
F,9,0.5,0.37,0.135,0.45
F,7,0.39,0.29,0.125,0.3055
I,7,0.365,0.27,0.085,0.205
F,11,0.58,0.465,0.165,1.1015
F,15,0.53,0.415,0.16,0.783
M,13,0.555,0.445,0.135,0.836
M,14,0.565,0.44,0.175,0.9025
M,22,0.625,0.505,0.215,1.4455
I,7,0.275,0.215,0.075,0.1155
I,12,0.44,0.35,0.135,0.435
I,9,0.295,0.225,0.08,0.124
I,1,0.075,0.055,0.01,0.002
I,3,0.13,0.1,0.03,0.013
I,3,0.11,0.09,0.03,0.008
I,5,0.16,0.12,0.035,0.021
M,17,0.565,0.425,0.16,0.9425
I,5,0.27,0.2,0.07,0.1
I,5,0.23,0.175,0.065,0.0645
I,8,0.3,0.23,0.08,0.1275
I,8,0.33,0.255,0.085,0.1655
I,10,0.35,0.26,0.085,0.174
I,13,0.32,0.245,0.08,0.1585
I,9,0.36,0.275,0.085,0.1975
I,7,0.305,0.245,0.075,0.156
I,7,0.345,0.27,0.11,0.2135
I,7,0.33,0.25,0.105,0.1715
M,13,0.59,0.47,0.18,1.1235
F,12,0.595,0.455,0.155,1.0605
F,15,0.575,0.46,0.185,1.094
M,15,0.6,0.495,0.165,1.2415
M,15,0.56,0.45,0.175,1.011
M,19,0.56,0.45,0.185,1.07
M,10,0.545,0.46,0.16,0.8975
F,15,0.635,0.505,0.17,1.415
F,13,0.59,0.475,0.16,1.1015
F,11,0.54,0.475,0.155,0.928
F,12,0.57,0.44,0.125,0.865
M,11,0.53,0.42,0.165,0.8945
I,4,0.245,0.195,0.06,0.095
M,6,0.27,0.2,0.08,0.1205
F,11,0.46,0.38,0.13,0.639
M,14,0.52,0.45,0.15,0.895
M,8,0.35,0.275,0.11,0.2925
M,9,0.47,0.39,0.15,0.6355
F,13,0.45,0.36,0.125,0.4995
F,22,0.64,0.525,0.215,1.779
M,16,0.59,0.5,0.2,1.187
M,14,0.62,0.485,0.205,1.219
M,15,0.63,0.505,0.225,1.525
M,13,0.63,0.515,0.155,1.259
M,22,0.655,0.54,0.215,1.844
F,12,0.66,0.53,0.185,1.3485
M,18,0.61,0.5,0.24,1.642
M,20,0.635,0.525,0.205,1.484
F,11,0.515,0.425,0.135,0.712
F,15,0.535,0.415,0.185,0.8415
I,7,0.36,0.285,0.105,0.2415
F,9,0.455,0.355,0.12,0.4495
M,14,0.485,0.395,0.14,0.6295
M,14,0.515,0.38,0.175,0.9565
F,10,0.535,0.415,0.17,0.879
M,10,0.53,0.435,0.155,0.699
F,17,0.495,0.4,0.155,0.6445
M,9,0.44,0.355,0.125,0.4775
F,10,0.535,0.435,0.16,0.8105
M,17,0.54,0.435,0.18,0.996
F,12,0.565,0.505,0.21,1.2765
M,15,0.61,0.475,0.165,1.116
F,19,0.565,0.455,0.175,1.013
M,26,0.6,0.495,0.195,1.0575
I,6,0.295,0.215,0.085,0.128
I,6,0.275,0.205,0.075,0.1105
I,4,0.28,0.21,0.085,0.1065
M,11,0.49,0.395,0.14,0.549
M,9,0.37,0.28,0.105,0.234
F,9,0.405,0.305,0.095,0.3485
F,13,0.54,0.435,0.175,0.892
M,8,0.37,0.28,0.1,0.252
M,6,0.36,0.27,0.1,0.217
F,10,0.47,0.36,0.13,0.472
I,4,0.2,0.145,0.06,0.037
I,3,0.165,0.12,0.03,0.0215
M,13,0.645,0.515,0.24,1.5415
M,14,0.55,0.41,0.125,0.7605
M,10,0.57,0.435,0.145,0.9055
F,21,0.63,0.485,0.19,1.2435
M,14,0.56,0.44,0.14,0.971
M,19,0.595,0.455,0.195,1.3305
F,23,0.62,0.47,0.2,1.2255
M,23,0.63,0.485,0.175,1.3
I,8,0.45,0.355,0.11,0.4585
F,14,0.635,0.535,0.19,1.242
M,10,0.45,0.35,0.1,0.3675
F,18,0.58,0.455,0.155,0.8365
I,6,0.33,0.255,0.095,0.172
I,5,0.265,0.21,0.06,0.0965
I,4,0.19,0.145,0.04,0.038
M,11,0.385,0.31,0.1,0.2845
I,5,0.265,0.205,0.07,0.1055
M,7,0.335,0.265,0.105,0.222
I,7,0.355,0.275,0.09,0.251
I,7,0.32,0.255,0.1,0.1755
M,12,0.51,0.4,0.13,0.6435
M,8,0.36,0.295,0.105,0.241
I,8,0.36,0.28,0.09,0.2255
M,12,0.5,0.38,0.155,0.5955
F,8,0.4,0.325,0.12,0.3185
I,5,0.3,0.22,0.08,0.121
I,5,0.235,0.175,0.04,0.0705
F,16,0.74,0.6,0.195,1.974
M,11,0.62,0.465,0.19,1.3415
M,14,0.6,0.475,0.19,1.0875
M,16,0.59,0.45,0.185,1.283
M,13,0.62,0.475,0.185,1.325
F,15,0.565,0.45,0.195,1.0035
M,14,0.575,0.455,0.145,1.165
F,14,0.62,0.51,0.205,1.3475
M,12,0.62,0.465,0.185,1.274
F,12,0.505,0.375,0.18,0.568
F,8,0.46,0.425,0.155,0.746
M,13,0.49,0.39,0.14,0.707
F,9,0.525,0.42,0.16,0.756
I,6,0.34,0.26,0.08,0.2
I,8,0.375,0.305,0.115,0.2715
M,14,0.61,0.48,0.15,1.2
F,8,0.61,0.495,0.185,1.153
F,22,0.585,0.45,0.17,0.8685
M,12,0.57,0.46,0.14,0.9535
M,9,0.58,0.455,0.17,0.93
M,16,0.635,0.515,0.17,1.275
M,20,0.7,0.58,0.205,2.13
M,13,0.675,0.525,0.185,1.587
F,18,0.645,0.525,0.19,1.8085
M,17,0.745,0.585,0.215,2.499
F,16,0.685,0.545,0.18,1.768
M,18,0.605,0.49,0.18,1.227
F,12,0.59,0.465,0.15,0.997
F,20,0.65,0.525,0.175,1.4225
F,16,0.6,0.48,0.15,1.029
F,12,0.62,0.5,0.175,1.186
M,19,0.63,0.515,0.16,1.016
M,11,0.58,0.465,0.145,0.887
F,10,0.58,0.455,0.12,1.0735
M,12,0.63,0.49,0.18,1.13
F,17,0.69,0.56,0.215,1.719
F,16,0.65,0.545,0.165,1.566
F,16,0.66,0.565,0.195,1.7605
F,19,0.68,0.58,0.2,1.787
F,14,0.7,0.575,0.17,1.31
M,13,0.685,0.52,0.15,1.343
F,20,0.675,0.545,0.195,1.7345
M,11,0.63,0.49,0.19,1.1775
F,10,0.585,0.45,0.16,1.077
M,15,0.565,0.465,0.175,0.995
F,12,0.61,0.495,0.185,1.1085
M,15,0.605,0.47,0.18,1.1405
M,10,0.535,0.42,0.145,0.791
M,10,0.485,0.4,0.135,0.663
M,12,0.47,0.375,0.12,0.5565
M,10,0.545,0.425,0.135,0.8445
F,9,0.455,0.37,0.105,0.4925
M,12,0.54,0.42,0.155,0.7385
M,10,0.46,0.38,0.135,0.482
M,14,0.49,0.42,0.125,0.609
I,9,0.465,0.375,0.12,0.471
I,10,0.415,0.325,0.1,0.3215
M,10,0.475,0.375,0.125,0.593
F,10,0.47,0.375,0.125,0.5615
I,9,0.365,0.295,0.095,0.25
I,6,0.345,0.275,0.095,0.1995
I,11,0.39,0.31,0.1,0.302
F,10,0.5,0.395,0.14,0.7155
M,8,0.47,0.38,0.145,0.5865
M,12,0.535,0.44,0.15,0.6765
M,11,0.585,0.455,0.15,0.987
F,9,0.485,0.365,0.12,0.5885
M,9,0.515,0.455,0.135,0.7225
F,7,0.435,0.325,0.11,0.4335
F,10,0.515,0.415,0.14,0.6935
I,7,0.44,0.345,0.12,0.365
F,12,0.525,0.44,0.15,0.8425
M,8,0.45,0.355,0.115,0.479
M,16,0.59,0.485,0.12,0.911
M,11,0.555,0.45,0.145,0.915
M,8,0.57,0.44,0.095,0.827
M,15,0.59,0.5,0.165,1.1045
M,14,0.585,0.475,0.12,0.945
F,11,0.58,0.46,0.12,0.9935
M,12,0.545,0.44,0.12,0.8565
F,14,0.605,0.495,0.17,1.2385
F,15,0.62,0.47,0.14,1.0325
F,20,0.63,0.5,0.17,1.3135
M,20,0.63,0.515,0.165,1.352
F,16,0.63,0.5,0.155,1.005
M,13,0.545,0.41,0.14,0.625
F,14,0.67,0.54,0.165,1.5015
I,11,0.49,0.38,0.12,0.529
F,13,0.49,0.39,0.135,0.5785
I,8,0.29,0.225,0.07,0.101
I,6,0.26,0.2,0.07,0.092
M,13,0.58,0.45,0.175,1.068
F,18,0.61,0.485,0.165,1.0915
M,19,0.6,0.5,0.16,1.015
F,21,0.56,0.455,0.125,0.943
F,18,0.575,0.45,0.17,1.0475
F,18,0.57,0.45,0.175,0.9555
M,20,0.6,0.47,0.155,1.036
M,18,0.565,0.455,0.17,0.9065
M,22,0.545,0.42,0.14,0.7505
I,13,0.44,0.345,0.1,0.366
M,11,0.5,0.41,0.15,0.662
I,7,0.36,0.275,0.095,0.217
I,14,0.385,0.305,0.095,0.252
M,9,0.39,0.3,0.09,0.3055
M,13,0.5,0.415,0.165,0.6885
I,10,0.36,0.275,0.11,0.2335
I,8,0.335,0.26,0.1,0.192
F,19,0.505,0.425,0.14,0.85
I,10,0.395,0.295,0.1,0.2715
F,10,0.41,0.325,0.105,0.3635
F,9,0.56,0.455,0.19,0.714
M,13,0.565,0.435,0.185,0.9815
M,16,0.565,0.455,0.185,0.9265
M,12,0.605,0.5,0.175,1.098
F,18,0.565,0.455,0.15,0.8205
M,16,0.725,0.565,0.215,1.891
F,16,0.675,0.535,0.16,1.41
F,17,0.665,0.555,0.195,1.4385
F,11,0.565,0.49,0.155,0.9245
F,14,0.645,0.55,0.175,1.2915
M,11,0.575,0.47,0.14,0.8375
F,15,0.64,0.54,0.175,1.221
I,9,0.36,0.28,0.105,0.199
I,10,0.415,0.31,0.11,0.2965
F,11,0.525,0.41,0.135,0.7085
M,11,0.38,0.285,0.1,0.2665
F,12,0.585,0.465,0.17,0.9915
I,6,0.24,0.185,0.07,0.0715
I,5,0.22,0.165,0.055,0.0545
I,6,0.255,0.195,0.07,0.0735
I,5,0.175,0.125,0.05,0.0235
F,12,0.67,0.55,0.19,1.3905
M,13,0.655,0.53,0.195,1.388
F,17,0.68,0.55,0.21,1.7445
M,21,0.675,0.555,0.2,1.4385
F,9,0.53,0.44,0.135,0.7835
F,10,0.515,0.405,0.12,0.646
I,9,0.43,0.34,0.12,0.3575
F,11,0.52,0.405,0.12,0.627
F,10,0.545,0.415,0.16,0.7715
M,17,0.53,0.415,0.175,0.7395
F,9,0.465,0.35,0.115,0.421
M,17,0.665,0.54,0.175,1.347
M,21,0.735,0.59,0.225,1.756
M,16,0.66,0.545,0.185,1.32
F,29,0.7,0.585,0.185,1.8075
M,17,0.575,0.4,0.155,0.9325
M,15,0.57,0.465,0.125,0.849
F,19,0.58,0.46,0.15,0.9955
M,12,0.63,0.48,0.145,1.0115
F,13,0.585,0.465,0.14,0.908
M,11,0.55,0.45,0.13,0.92
F,15,0.625,0.515,0.15,1.2415
M,11,0.54,0.42,0.135,0.8075
F,14,0.57,0.455,0.165,1.0595
M,14,0.59,0.455,0.145,1.073
M,13,0.58,0.46,0.13,0.921
F,11,0.655,0.51,0.155,1.2895
M,15,0.655,0.53,0.175,1.2635
M,17,0.625,0.5,0.195,1.369
F,15,0.625,0.5,0.15,0.953
F,12,0.64,0.52,0.175,1.248
F,19,0.605,0.485,0.165,1.0105
F,11,0.615,0.525,0.155,1.0385
M,10,0.555,0.45,0.175,0.874
F,12,0.58,0.44,0.18,0.854
F,23,0.62,0.52,0.225,1.1835
F,15,0.62,0.47,0.225,1.115
F,13,0.6,0.505,0.19,1.129
F,17,0.625,0.485,0.19,1.1745
M,15,0.6,0.47,0.175,1.105
M,12,0.56,0.46,0.235,0.8395
M,15,0.585,0.455,0.225,1.055
M,11,0.56,0.435,0.18,0.889
I,16,0.56,0.445,0.155,0.8735
I,10,0.68,0.53,0.185,1.1095
F,10,0.455,0.35,0.14,0.5185
F,10,0.49,0.38,0.145,0.6725
M,6,0.31,0.22,0.085,0.146
F,5,0.275,0.195,0.07,0.08
M,6,0.27,0.195,0.08,0.1
M,9,0.4,0.29,0.115,0.2795
M,5,0.28,0.2,0.08,0.0915
M,4,0.325,0.23,0.09,0.147
F,6,0.345,0.25,0.09,0.203
M,3,0.21,0.15,0.05,0.0385
F,5,0.36,0.27,0.09,0.1885
I,9,0.365,0.26,0.115,0.218
M,5,0.2,0.14,0.055,0.035
M,4,0.235,0.16,0.06,0.0545
M,4,0.175,0.125,0.04,0.024
M,3,0.155,0.11,0.04,0.0155
F,14,0.57,0.445,0.155,0.733
F,12,0.57,0.45,0.16,0.9715
M,9,0.385,0.3,0.095,0.24
I,20,0.53,0.42,0.185,0.752
F,13,0.46,0.355,0.13,0.458
I,12,0.47,0.37,0.12,0.4705
F,9,0.435,0.335,0.11,0.38
I,10,0.47,0.37,0.14,0.4985
I,11,0.465,0.38,0.13,0.454
I,11,0.52,0.405,0.14,0.5775
M,7,0.29,0.23,0.075,0.1165
M,5,0.275,0.205,0.07,0.094
F,10,0.375,0.29,0.115,0.2705
F,15,0.5,0.375,0.14,0.604
F,11,0.44,0.355,0.115,0.415
M,15,0.42,0.325,0.115,0.2885
M,8,0.445,0.35,0.115,0.3615
F,10,0.38,0.29,0.105,0.257
M,11,0.32,0.245,0.075,0.1555
M,8,0.255,0.195,0.065,0.08
M,7,0.205,0.155,0.045,0.0425
F,12,0.565,0.45,0.16,0.795
I,11,0.555,0.425,0.18,0.875
I,17,0.65,0.515,0.16,1.1625
I,13,0.615,0.49,0.155,0.9885
I,12,0.56,0.44,0.165,0.8
I,13,0.48,0.37,0.12,0.514
I,9,0.485,0.39,0.125,0.591
I,10,0.5,0.385,0.15,0.6265
I,14,0.525,0.405,0.15,0.795
F,12,0.66,0.5,0.165,1.1905
F,13,0.66,0.53,0.17,1.326
I,13,0.52,0.4,0.145,0.66
F,8,0.44,0.34,0.105,0.364
I,13,0.515,0.4,0.12,0.659
F,11,0.475,0.35,0.115,0.452
F,11,0.545,0.415,0.15,0.7335
F,14,0.47,0.355,0.13,0.5465
M,10,0.35,0.255,0.065,0.179
I,12,0.485,0.355,0.13,0.581
I,12,0.435,0.33,0.125,0.406
M,7,0.28,0.21,0.08,0.1085
F,11,0.41,0.32,0.115,0.387
I,16,0.45,0.35,0.14,0.474
I,14,0.45,0.345,0.135,0.443
F,20,0.59,0.455,0.155,1.066
F,17,0.57,0.44,0.14,0.9535
I,10,0.61,0.475,0.15,0.9665
F,11,0.61,0.475,0.14,1.133
I,10,0.56,0.425,0.14,0.9175
F,10,0.585,0.435,0.175,0.982
I,11,0.58,0.445,0.15,0.8865
F,17,0.63,0.48,0.175,1.3675
F,11,0.625,0.49,0.175,1.233
I,14,0.55,0.425,0.15,0.806
F,19,0.645,0.525,0.19,1.4635
I,13,0.46,0.355,0.14,0.4935
F,11,0.41,0.305,0.1,0.363
I,11,0.495,0.39,0.125,0.6655
I,10,0.52,0.425,0.17,0.6805
F,13,0.55,0.41,0.145,0.8285
M,14,0.45,0.335,0.14,0.4625
F,13,0.405,0.31,0.12,0.3095
I,13,0.51,0.4,0.15,0.745
F,9,0.37,0.29,0.115,0.25
I,18,0.525,0.41,0.175,0.874
F,19,0.66,0.52,0.18,1.514
M,12,0.535,0.42,0.15,0.6995
I,13,0.575,0.455,0.18,0.8525
F,9,0.55,0.43,0.14,0.7135
I,13,0.605,0.47,0.14,0.939
I,12,0.605,0.495,0.145,1.054
F,16,0.56,0.445,0.195,0.981
I,17,0.535,0.42,0.145,0.926
F,10,0.385,0.315,0.11,0.286
F,13,0.39,0.3,0.1,0.265
I,11,0.47,0.345,0.115,0.4885
I,12,0.515,0.39,0.14,0.5555
I,13,0.425,0.345,0.125,0.425
M,9,0.345,0.27,0.09,0.195
I,10,0.485,0.37,0.13,0.458
M,10,0.37,0.285,0.1,0.228
M,12,0.35,0.265,0.09,0.1775
F,12,0.44,0.345,0.17,0.4085
M,4,0.195,0.145,0.05,0.032
M,9,0.325,0.24,0.075,0.155
I,18,0.495,0.37,0.125,0.4775
I,15,0.45,0.35,0.145,0.525
M,13,0.415,0.345,0.135,0.3865
F,12,0.47,0.355,0.14,0.433
M,7,0.32,0.24,0.085,0.17
M,9,0.31,0.225,0.075,0.1295
M,7,0.235,0.17,0.055,0.0515
M,10,0.345,0.255,0.08,0.169
I,18,0.485,0.38,0.14,0.673
F,12,0.5,0.385,0.115,0.6785
F,17,0.5,0.385,0.105,0.498
I,15,0.465,0.36,0.105,0.498
F,12,0.525,0.405,0.16,0.658
F,10,0.425,0.335,0.095,0.322
F,8,0.38,0.305,0.095,0.2815
I,21,0.53,0.415,0.145,0.944
M,10,0.34,0.265,0.085,0.1835
I,9,0.475,0.365,0.115,0.49
F,7,0.43,0.34,0.12,0.391
M,10,0.46,0.365,0.125,0.467
I,9,0.47,0.36,0.13,0.5225
M,9,0.36,0.295,0.1,0.2105
M,8,0.355,0.265,0.09,0.168
M,7,0.38,0.235,0.1,0.258
M,6,0.355,0.26,0.085,0.1905
I,14,0.44,0.345,0.12,0.487
F,13,0.51,0.4,0.13,0.5735
M,7,0.325,0.24,0.085,0.173
I,13,0.62,0.485,0.18,1.1785
F,19,0.59,0.45,0.16,0.9
M,7,0.33,0.255,0.095,0.1875
M,9,0.45,0.34,0.13,0.3715
I,11,0.445,0.33,0.12,0.347
M,6,0.33,0.215,0.075,0.1145
M,9,0.48,0.375,0.145,0.777
I,11,0.46,0.35,0.12,0.4885
F,9,0.475,0.36,0.125,0.447
M,5,0.255,0.18,0.065,0.079
I,6,0.335,0.245,0.09,0.1665
I,11,0.47,0.35,0.13,0.466
M,7,0.31,0.225,0.08,0.1345
F,10,0.37,0.28,0.11,0.2305
M,7,0.295,0.215,0.075,0.129
F,17,0.555,0.435,0.165,0.97
F,16,0.615,0.515,0.17,1.14
I,18,0.58,0.49,0.195,1.3165
F,11,0.585,0.475,0.185,0.9585
I,18,0.65,0.525,0.18,1.626
I,11,0.535,0.45,0.17,0.781
F,10,0.415,0.34,0.13,0.3675
F,12,0.38,0.305,0.105,0.281
I,19,0.45,0.355,0.12,0.412
F,10,0.395,0.295,0.095,0.2245
M,11,0.455,0.35,0.12,0.4835
F,15,0.485,0.38,0.15,0.605
M,13,0.55,0.425,0.155,0.9175
F,13,0.45,0.35,0.145,0.5425
M,14,0.475,0.385,0.145,0.6175
F,17,0.5,0.38,0.155,0.655
F,19,0.53,0.41,0.165,0.8115
M,21,0.49,0.39,0.15,0.573
F,23,0.49,0.385,0.15,0.7865
F,22,0.52,0.395,0.18,0.64
M,12,0.54,0.415,0.145,0.74
F,11,0.5,0.375,0.115,0.5945
F,23,0.45,0.38,0.165,0.8165
F,8,0.37,0.275,0.1,0.2225
I,7,0.37,0.275,0.1,0.2295
